0 x, -nan
0 y, -nan
0 z, -nan
1 x, -nan
1 y, -nan
1 z, -nan
2 x, -nan
2 y, -nan
2 z, -nan
3 x, -nan
3 y, -nan
3 z, -nan
4 x, -nan
4 y, -nan
4 z, -nan
5 x, -nan
5 y, -nan
5 z, -nan
258 x, -1.000000
258 y, -0.000000
258 z, 0.000000
259 x, -1.000000
259 y, 0.000000
259 z, -0.000000
260 x, -1.000000
260 y, 0.000000
260 z, -0.000000
261 x, -1.000000
261 y, 0.000000
261 z, -0.000000
262 x, -1.000000
262 y, 0.000000
262 z, -0.000000
263 x, -1.000000
263 y, 0.000000
263 z, -0.000000
264 x, -1.000000
264 y, 0.000000
264 z, -0.000000
265 x, -1.000000
265 y, -0.000000
265 z, -0.000000
266 x, -1.000000
266 y, -0.000000
266 z, -0.000000
267 x, -1.000000
267 y, -0.000000
267 z, -0.000000
268 x, -1.000000
268 y, -0.000000
268 z, -0.000000
269 x, -1.000000
269 y, 0.000000
269 z, -0.000000
270 x, -1.000000
270 y, -0.000000
270 z, 0.000000
271 x, -1.000000
271 y, -0.000000
271 z, -0.000000
272 x, -1.000000
272 y, 0.000000
272 z, -0.000000
273 x, -1.000000
273 y, 0.000000
273 z, 0.000000
274 x, -1.000000
274 y, 0.000000
274 z, 0.000000
275 x, -1.000000
275 y, 0.000000
275 z, 0.000000
276 x, -1.000000
276 y, 0.000000
276 z, 0.000000
277 x, -1.000000
277 y, 0.000000
277 z, 0.000000
278 x, -1.000000
278 y, 0.000000
278 z, 0.000000
279 x, -1.000000
279 y, 0.000000
279 z, 0.000000
280 x, -1.000000
280 y, 0.000000
280 z, 0.000000
281 x, -1.000000
281 y, 0.000000
281 z, 0.000000
282 x, -1.000000
282 y, -0.000000
282 z, -0.000000
283 x, -0.972205
283 y, 0.188244
283 z, 0.139218
284 x, -0.000000
284 y, -0.938656
284 z, -0.344856
285 x, 1.000000
285 y, 0.000000
285 z, 0.000000
286 x, 1.000000
286 y, -0.000000
286 z, -0.000000
287 x, 1.000000
287 y, -0.000000
287 z, -0.000000
288 x, 1.000000
288 y, -0.000000
288 z, -0.000000
289 x, 1.000000
289 y, -0.000000
289 z, -0.000000
290 x, 1.000000
290 y, 0.000000
290 z, -0.000000
291 x, 1.000000
291 y, 0.000000
291 z, -0.000000
292 x, 1.000000
292 y, -0.000000
292 z, -0.000000
